Time	GLC	ATP	G6P	ADP	F6P	FBP
137	-0.014597494111153	-0.0263260621465722	0.00289721850677143	0.0263260621465722	-2.82924310375614e-05	0.0117285680354192
139.22	-0.014440546101769	-0.0262104894595358	0.00270312320505076	0.0262104894595358	-3.25204610485297e-05	0.0117699433577668
141.44	-0.0142876810933041	-0.0260953753349432	0.0025158256951019	0.0260953753349432	-3.58388434369018e-05	0.0118076942416391
143.66	-0.0141387593104296	-0.0259806575222254	0.00233514414290024	0.0259806575222254	-3.82830442664081e-05	0.0118418982117958
145.88	-0.013993640977817	-0.0258662737708135	0.0021608967144212	0.0258662737708135	-3.98885296007786e-05	0.0118726327929965
148.1	-0.0138521863201375	-0.0257521618301386	0.00199290157564018	0.0257521618301386	-4.06907655037438e-05	0.0118999755100011
150.32	-0.0137142555620626	-0.0256382594496317	0.00183097689253257	0.0256382594496317	-4.07252180390338e-05	0.0119240038875691
152.54	-0.0135797089282636	-0.0255245043787239	0.00167494083107378	0.0255245043787239	-4.00273532703789e-05	0.0119447954504602
154.76	-0.0134484066434119	-0.0254108343668462	0.00152461155723921	0.0254108343668462	-3.86326372615091e-05	0.0119624277234342
156.98	-0.0133202089321789	-0.0252971871634297	0.00137980723700426	0.0252971871634297	-3.6576536076155e-05	0.0119769782312508
159.2	-0.0131949760192359	-0.0251835005179055	0.00124034603634434	0.0251835005179055	-3.38945157780466e-05	0.0119885244986696
161.42	-0.0130725681292543	-0.0250697121797046	0.00110604612123485	0.0250697121797046	-3.06220424309141e-05	0.0119971440504503
163.64	-0.0129528454869054	-0.0249557598982581	0.000976725657651191	0.0249557598982581	-2.6794582098488e-05	0.0120029144113527
165.86	-0.0128356683168606	-0.024841581422997	0.000852202811568763	0.024841581422997	-2.24476008444983e-05	0.0120059131061364
168.08	-0.0127208968437913	-0.0247271145033524	0.00073229574896297	0.0247271145033524	-1.76165647326752e-05	0.0120062176595611
170.3	-0.0126083912923689	-0.0246122968887554	0.000616822635809213	0.0246122968887554	-1.23369398267491e-05	0.0120039055963865
172.52	-0.0124980118872647	-0.024497066328637	0.000505601638082896	0.024497066328637	-6.64419219045013e-06	0.0119990544413723
174.74	-0.0123896188531501	-0.0243813605724283	0.00039845092175942	0.0243813605724283	-5.73787887508515e-07	0.0119917417192782
176.96	-0.0122830724146964	-0.0242651173695603	0.000295188652814188	0.0242651173695603	5.8388070183454e-06	0.0119820449548639
179.18	-0.012178232796575	-0.0241482744694641	0.000195632997222603	0.0241482744694641	1.25581264633815e-05	0.011970041672889
181.4	-0.0120749602234573	-0.0240307696215708	9.96021209600655e-05	0.0240307696215708	1.95487043838694e-05	0.0119558093981134
183.62	-0.0119731149200147	-0.0239125405753114	6.91419000197963e-06	0.0239125405753114	2.67750747160791e-05	0.0119394256552966
185.84	-0.0118725571109185	-0.0237935250801169	-8.26126296762536e-05	0.0237935250801169	3.42017713962801e-05	0.0119209679691984
188.06	-0.01177314702084	-0.0236736608854185	-0.000169160172099232	0.0236736608854185	4.17933283607424e-05	0.0119005138645785
190.28	-0.0116747448744507	-0.0235528857406472	-0.000252910271291552	0.0235528857406472	4.95142795457357e-05	0.0118781408661965
192.5	-0.0115772108964219	-0.0234311373952341	-0.000334044761277814	0.0234311373952341	5.73291588875297e-05	0.0118539264988122
194.72	-0.011480405311425	-0.0233083535986102	-0.000412745476082613	0.0233083535986102	6.52025003223941e-05	0.0118279482871852
196.94	-0.0113841883441313	-0.0231844721002066	-0.000489194249730547	0.0231844721002066	7.3098837786599e-05	0.0118002837560753
199.16	-0.0112884202192122	-0.0230594306494543	-0.000563572916246215	0.0230594306494543	8.09827052164135e-05	0.011771010430242
201.38	-0.0111929611613391	-0.0229331669957844	-0.000636063309654214	0.0229331669957844	8.88186365481081e-05	0.0117402058344452
203.6	-0.0110976713951834	-0.022805618888628	-0.000706847263979141	0.022805618888628	9.65711657179523e-05	0.0117079474934446
205.82	-0.0110024111454163	-0.022676724077416	-0.000776106613245595	0.022676724077416	0.000104204826662216	0.0116743129319997
208.04	-0.0109070406367093	-0.0225464203115797	-0.000844023191478174	0.0225464203115797	0.000111684153317168	0.0116393796748704
210.26	-0.0108114200937338	-0.02241464534055	-0.000910778832701474	0.02241464534055	0.000118973679619079	0.0116032252468162
212.48	-0.0107154097411611	-0.022281336913758	-0.000976555370940094	0.022281336913758	0.000126037939504219	0.0115659271725969
214.7	-0.0106188698036625	-0.0221464327806348	-0.00104153464021863	0.0221464327806348	0.000132841466908858	0.0115275629769723
216.92	-0.0105216605059095	-0.0220098706906113	-0.00110589847456168	0.0220098706906113	0.000139348795769264	0.0114882101847019
219.14	-0.0104236420725733	-0.0218715883931188	-0.00116982870799385	0.0218715883931188	0.000145524460021709	0.0114479463205455
221.36	-0.0103246747283255	-0.0217315236375882	-0.00123350717453973	0.0217315236375882	0.000151332993602461	0.0114068489092627
223.58	-0.0102246186978372	-0.0215896141734506	-0.00129711570822391	0.0215896141734506	0.00015673893044779	0.0113649954756134
225.8	-0.01012333420578	-0.021445797750137	-0.001360836143071	0.021445797750137	0.000161706804493967	0.011322463544357
228.02	-0.0100206814768251	-0.0213000121170786	-0.0014248503131056	0.0213000121170786	0.000166201149677261	0.0112793306402535
230.24	-0.009916520735644	-0.0211521950237064	-0.00148934005235229	0.0211521950237064	0.000170186499933941	0.0112356742880624
232.46	-0.00981071220690796	-0.0210022842194513	-0.00155448719483569	0.0210022842194513	0.000173627389200278	0.0111915720125434
234.68	-0.00970311611528839	-0.0208502174537446	-0.00162047357458038	0.0208502174537446	0.000176488351412541	0.0111471013384562
236.9	-0.00959359268545665	-0.0206959324760173	-0.00168748102561097	0.0206959324760173	0.000178733920507	0.0111023397905606
239.12	-0.0094820021420841	-0.0205393670357003	-0.00175569138195205	0.0205393670357003	0.000180328630419925	0.0110573648936162
241.34	-0.00936820470984211	-0.0203804588822249	-0.00182528647762822	0.0203804588822249	0.000181237015087586	0.0110122541723827
243.56	-0.00925206061340205	-0.0202191457650219	-0.00189644814666408	0.0202191457650219	0.000181423608446252	0.0109670851516199
245.78	-0.00913343007743529	-0.0200553654335226	-0.00196935822308422	0.0200553654335226	0.000180852944432193	0.0109219353560873
248	-0.00901217332661319	-0.0198890556371579	-0.00204419854091325	0.0198890556371579	0.000179489556981679	0.0108768823105448
250.22	-0.00888819511739746	-0.0197201845583435	-0.00212110296895518	0.0197201845583435	0.000177308645406594	0.0108319894409461
252.44	-0.00876157833341125	-0.0195488421114329	-0.00220001351513174	0.0195488421114329	0.000174328070521281	0.0107872637780217
254.66	-0.00863245039006803	-0.0193751486437644	-0.00228082422214404	0.0193751486437644	0.000170576358515698	0.0107426982536964
256.88	-0.00850093870278131	-0.0191992245026761	-0.00236342913269325	0.0191992245026761	0.000166082035579802	0.0106982857998948
259.1	-0.00836717068696455	-0.019021190035506	-0.00244772228948049	0.019021190035506	0.00016087362790355	0.0106540193485415
261.32	-0.00823127375803126	-0.0188411655895925	-0.0025335977352069	0.0188411655895925	0.0001549796616769	0.0106098918315613
263.54	-0.00809337533139491	-0.0186592715122736	-0.00262094951257362	0.0186592715122736	0.00014842866308981	0.0105658961808787
265.76	-0.007953602822469	-0.0184756281508876	-0.00270967166428179	0.0184756281508876	0.000141249158332236	0.0105220253284186
267.98	-0.00781208364666702	-0.0182903558527724	-0.00279965823303255	0.0182903558527724	0.000133469673594137	0.0104782722061054
270.2	-0.00766894521940243	-0.0181035749652664	-0.00289080326152704	0.0181035749652664	0.000125118735065469	0.010434629745864
272.42	-0.00752431495608874	-0.0179154058357077	-0.00298300079246638	0.0179154058357077	0.000116224868936191	0.0103910908796189
274.64	-0.00737832027213944	-0.0177259688114344	-0.00307614486855173	0.0177259688114344	0.00010681660139626	0.0103476485392949
276.86	-0.007231088582968	-0.0175353842397846	-0.00317012953248422	0.0175353842397846	9.69224586356322e-05	0.0103042956568166
279.08	-0.00708274730398792	-0.0173437724680966	-0.00326484882696499	0.0173437724680966	8.65709668442662e-05	0.0102610251641086
281.3	-0.00693342385061269	-0.0171512538437084	-0.00336019679469517	0.0171512538437084	7.57906522121195e-05	0.0102178299930957
283.52	-0.00678324563825578	-0.0169579487139583	-0.00345606747837591	0.0169579487139583	6.46100409291491e-05	0.0101747030757025
285.74	-0.00663234008233069	-0.0167639774261844	-0.00355235492070834	0.0167639774261844	5.3057659185313e-05	0.0101316373438537
287.96	-0.0064808345982509	-0.0165694603277248	-0.00364895316439361	0.0165694603277248	4.11620331705681e-05	0.0100886257294739
290.18	-0.00632885660142991	-0.0163745177659178	-0.00374575625213284	0.0163745177659178	2.89516890748724e-05	0.0100456611644879
292.4	-0.00617653350728118	-0.0161792700881014	-0.00384265822662718	0.0161792700881014	1.64551530881826e-05	0.0100027365808202
294.62	-0.00602399273121823	-0.0159838376416138	-0.00393955313057777	0.0159838376416138	3.70095140045726e-06	0.00995984491039554
296.84	-0.00587136168865453	-0.0157883407737931	-0.00403633500668574	0.0157883407737931	-9.28238979834736e-06	0.00991697908513861
299.06	-0.00571876779500357	-0.0155928998319776	-0.00413289789765223	0.0155928998319776	-2.24663443182729e-05	0.00987413203697407
301.28	-0.00556633846567883	-0.0153976351635054	-0.00422913584617839	0.0153976351635054	-3.58223859693624e-05	0.00983129669782657
303.5	-0.0054142011160938	-0.0152026671157146	-0.00432494289496534	0.0152026671157146	-4.93219885616581e-05	0.0097884659996208
305.72	-0.00526248316166197	-0.0150081160359434	-0.00442021308671423	0.0150081160359434	-6.29366259052028e-05	0.0097456328742814
307.94	-0.00511131201779683	-0.0148141022715299	-0.0045148404641262	0.0148141022715299	-7.66377718100387e-05	0.00970279025373307
