Time	HXK:	PGI:	PFK:
225.8	0.01012333420578	0.011484170348851	0.011322463544357
228.02	0.0100206814768251	0.0114455317899307	0.0112793306402535
230.24	0.009916520735644	0.0114058607879963	0.0112356742880624
232.46	0.00981071220690796	0.0113651994017437	0.0111915720125434
234.68	0.00970311611528839	0.0113235896898688	0.0111471013384562
236.9	0.00959359268545665	0.0112810737110676	0.0111023397905606
239.12	0.0094820021420841	0.0112376935240362	0.0110573648936162
241.34	0.00936820470984211	0.0111934911874703	0.0110122541723827
243.56	0.00925206061340205	0.0111485087600661	0.0109670851516199
245.78	0.00913343007743529	0.0111027883005195	0.0109219353560873
248	0.00901217332661319	0.0110563718675264	0.0108768823105448
250.22	0.00888819511739746	0.0110092980863526	0.0108319894409461
252.44	0.00876157833341125	0.010961591848543	0.0107872637780217
