Time	E	B	G	F	I	J	C	H	K	D	A
27.3333333333333	0.499933835755766	0.00598053436227869	0.0139231201170016	0.0186825927161977	0.00560750855187062	0.0946170636925075	0.00229340434564567	0.541167995820998	0.299850192439876	0.23934786333676	0.068532979405629
27.5	0.501879832178907	0.00586400968063421	0.0137364973486473	0.0184384240526409	0.00548668995486665	0.0938679580207241	0.00226830980486801	0.543775628728906	0.300547227340493	0.239900047987107	0.0675286843060792
27.6666666666667	0.503776097708925	0.00574902121027142	0.0135531608297875	0.0181991044066319	0.00536861360034678	0.0931288754249907	0.00224430014953701	0.546346690032659	0.301248896935808	0.240459390883925	0.0665454002831976
27.8333333333333	0.505620009038279	0.00563559321751254	0.0133731992747735	0.0179645290875623	0.0052532847129145	0.0924002971838543	0.00222136894687712	0.548880636252401	0.301955777568829	0.24102587713965	0.0655826074804574
28	0.50740914771287	0.0055237489314076	0.0131966916408094	0.0177345952979532	0.00514070544857575	0.0916826611353854	0.00219950797992922	0.551377038265939	0.302668403548837	0.241599494341063	0.0646397861682389
28.1666666666667	0.509141300132044	0.00541351054373446	0.0130237071279519	0.0175092021334552	0.0050308748947388	0.0909763616771786	0.00217870724755069	0.553835581308742	0.303387267151385	0.242180232549283	0.0637164167438294
28.3333333333333	0.510814457548588	0.0053048992089988	0.0128543051791108	0.017288250582848	0.00492378907021436	0.0902817497663521	0.00215895496441537	0.556256064973939	0.304112818618297	0.242768084299772	0.062811979731423
28.5	0.512426816068733	0.00519793504443412	0.0126885354800486	0.0170716435280413	0.0048194409252155	0.0895991329195479	0.0021402375610136	0.558638403212324	0.304845466157668	0.243363044602335	0.0619259557821211
28.6666666666667	0.513976776652153	0.00509263713000176	0.0125264379593804	0.0168592857440737	0.00471782034135771	0.0889287752129319	0.00212253968365218	0.560982624332352	0.305585575943868	0.243965110941116	0.0610578256739317
28.8333333333333	0.515462945111963	0.00498902350839086	0.0123680427885745	0.0166510838991138	0.00461891413165885	0.0882708972821935	0.00210584419445438	0.563288871000139	0.306333472117536	0.244574283274602	0.06020707031177
29	0.516884132114724	0.0048871111850184	0.0122133703819518	0.0164469465544592	0.00452270604053918	0.0876256763225463	0.00209013217135997	0.565557400239463	0.307089436785583	0.245190564035621	0.0593731707274582
29.1666666666667	0.518239353180436	0.00478691612802918	0.012062431396686	0.0162467841645372	0.00442917674382134	0.0869932460887274	0.00207538290812517	0.567788583431767	0.307853710021192	0.245813958131345	0.0585556080797252
29.3333333333333	0.519527828682545	0.00468845326829583	0.0119152267328037	0.0160505090769044	0.0043383038487304	0.0863736968949976	0.00206157391432269	0.569982906316151	0.308626489863819	0.246444472943284	0.0577538636542072
29.5	0.520748983847939	0.00459173649941877	0.0117717475331842	0.0158580355322471	0.00425006189389378	0.0857670756151419	0.00204868091534172	0.572140968989382	0.30940793231919	0.247082118327291	0.0569674188634472
29.6666666666667	0.521902448756949	0.0044967786777263	0.0116319751835597	0.0156692796643808	0.00416442234934131	0.0851733856824686	0.00203667785238792	0.574263485905886	0.310198151359304	0.247726906613563	0.0561957552468952
29.8333333333333	0.522988058343348	0.00440359162227448	0.0114958813125153	0.0154841595002506	0.00408135361650521	0.0845925870898101	0.00202553688248341	0.576351285877752	0.310997218922432	0.248378852606635	0.0554383544709081
30	0.524005852394353	0.00431218611484725	0.0113634277914887	0.015302594959931	0.0040008210282201	0.0840245963895225	0.00201522837846682	0.57840531207473	0.311805164913115	0.249037973585385	0.0546946983287499
30.1666666666667	0.524956075550622	0.00422257189995634	0.0112345667347705	0.015124507856626	0.00392278684872298	0.0834692866934857	0.00200572092899324	0.580426622024234	0.312621977202168	0.249704289303034	0.0539642687405916
